Compound Id	CarbonTypes [C3SP3]
692	0
6153	0
127983	0
291	0
21106179	0
16425	0
23208	0
6105	0
11148	0
274	0
6086	0
9256	0
923	0
937	0
6085	0
217	0
9484	0
22814	0
22408	0
9286	0
12577	0
6084	0
6128	0
9243	0
62827	0
6132	0
391	0
38403	0
1087	0
16641	0
7954	0
864	0
11153	0
748	0
6095	0
6094	0
518	0
16841	0
6148	0
2056044	0
6151	0
6087	0
9095782	0
4514529	0
10675065	0
21106169	0
172	0
763	0
7956	0
7577	0
6089	0
6111	0
29040	0
10606755	0
6098	0
6120	1
13837650	0
13853215	0
61149	0
12197	0
682	0
61346	0
7558	0
7556	0
454215	0
7557	0
278	0
7957	0
654	0
9461	0
6130	0
7555	0
11727	0
1114	0
14441700	0
8960	0
6083	0
454209	0
56442	0
6101	0
6097	0
175	0
4449912	0
6102	0
9016	0
7559	0
2018165	0
7733	0
3644	0
6156	0
512	0
171	0
9646	0
9254	0
7734	0
9411	0
13835550	0
6135	0
13837190	0
10325078	0
7732	0
6335	0
7738	0
14829	0
4481813	0
10765	1
71390	0
6149	0
13872989	0
9391	0
6146	1
3631	0
6121	0
61213	0
3441	0
11099	0
11806	0
6308	1
3168	0
6104	0
1004	0
66567	1
1039	0
7713	0
73583	0
6103	0
7566	0
9994	0
10709	0
6309	0
6088	0
13299573	0
13836674	0
13835316	0
6092	0
14694	0
6313	1
11230	0
7564	0
7616	0
2062437	0
7712	0
4483639	0
10437	0
30713	0
2282428	0
6188	0
4483638	0
7330	0
12442	0
7546	0
9251	0
18971812	0
71433	0
10113	0
11755	0
7790	0
107412	0
56144	0
56020	0
13835977	0
256	0
10054	1
1005	0
553742	0
558883	0
99596	0
6333	0
6321	0
23055	0
8525	0
6125	0
4514586	0
11526	0
6322	0
6320	0
13836549	0
6163	0
62826	0
6108	0
11729	0
14672	1
6118	0
7730	0
11756	0
8544	0
23255	0
6312	1
6338	0
12201	1
62597	0
8329688	0
13837797	0
10653	0
13835336	0
7782	0
21106015	0
7727	0
558928	0
6093	0
693	0
11110	0
6311	1
8896	0
5977	0
7728	0
2340753	0
6340	2
9253	0
7626	0
7604	1
7553	0
12209	0
394562	0
10325184	0
83734	0
6315	0
7627	0
7717	0
387	0
60524	0
11109	0
63631	0
6100	0
13866746	0
7010	1
14998	0
12446	0
7560	0
258	0
10053	1
124968	0
7716	0
7552	0
7737	0
10571	1
17619	0
11809	0
13836713	0
13836589	0
11833	0
13835235	0
7767	0
7030	0
13836021	0
10124	0
59573	0
10777	1
6341	1
10018	0
558020	0
12626	0
13836591	0
11996	1
6165	1
7714	0
13862665	0
6042	0
7630	0
259	0
7607	0
5894	0
21108550	0
7772	0
21111806	0
236	0
9614	0
62808	0
10492	1
7736	0
11055	0
10446	1
7463	0
7619	2
7016	0
13871721	0
7739	0
7706	0
7028	0
5730	0
6316	0
8903	0
24590970	0
21011	0
9325	0
415	0
55090	1
10947	0
10772140	0
28994	0
13839553	0
3973	0
71312	0
3951	0
592	0
8904	0
8899	0
60329	0
6406	0
2916	0
2293678	0
6119	0
29015	0
11680	0
7624	0
7615	0
7090	1
6122	0
7024	1
55188	1
11117	0
13835224	0
6176	0
62249	0
13803	0
10755	0
9377	0
15077490	0
7823	0
11125	0
6307	1
7787	0
6334	0
13255	0
109838	0
11849	0
173	0
66656	0
13837280	0
11845	0
11094	1
13854944	0
29000	1
8398	1
10791	1
8733	0
10786	2
8554	0
92731	0
7788	0
9233	0
1020	0
11992	0
6187	0
8158	0
11023	1
11731	0
11207996	1
1609	0
7721	0
1095	0
11121	0
10498	0
7065	1
7791	0
109705	3
7636	0
7621	1
11551	1
13835836	0
7711	0
8543	0
6040	0
10445	1
11351244	0
7770	0
23150	0
12161	0
13874867	0
31029	0
4444456	0
7769	0
18607	0
10001	1
7747	1
10788	1
23621376	0
5993	0
8560	0
555074	0
10437074	0
13861343	0
7705	0
8141	0
10512	0
11180	2
7701	0
62589	1
7686	0
5439	0
11056	1
7026	0
66675	0
2005981	0
7622	1
7684	0
8900	0
11025	0
7475	0
59674	0
21171407	0
11095	0
13837537	0
10614293	1
6326	0
56117	0
7466	0
29036	0
7761	1
21168808	0
11104	2
16778	0
13835376	0
127750	0
10790	1
2018460	0
68503	0
13863629	0
7674	1
1143	0
1108	1
7029	0
29001	0
11788	0
11732	0
7688	0
7515	0
11794	0
13836520	0
11678	0
2038738	0
8562	0
29012	0
21106535	0
13875283	1
13867413	0
13837702	0
5949	0
71089	0
7551	0
11706	0
66996	0
61487	1
10797	2
26325086	0
7478	0
11799	0
13839199	0
13835459	0
11793	1
10534	0
9326	0
63863	0
659	0
7459	1
10787	1
12228	0
18688	0
10795	3
55130	0
11086	0
11841	2
12012	0
4489	0
48024	0
11024	1
512621	0
66655	0
21106032	0
6330	0
11035	1
13439	0
7021	0
7018	0
120464	1
11864	0
4444608	0
10948	0
11761	0
12229	0
24099	0
22453	1
12499	0
7833	0
7657	1
7013	0
13837281	0
5708	0
7703	0
4512642	0
4516601	0
11244	0
4516599	0
11846	0
7812	0
10652594	0
7766	0
844	0
13816	0
19953955	0
7776	0
1141	0
11857	0
66021	0
10497	0
70715	0
21106520	1
66809	0
10452	0
10433	1
29107	0
10265264	2
13874733	1
11911	0
7811	0
13836399	0
7676	0
7064	1
349	0
10488	0
4514549	0
11193	0
4512361	0
11739	1
8552	0
8908	0
28986	0
10526	0
17443	0
68832	0
21800	2
10179173	2
81815	0
29016	1
7003	0
59447	0
13839109	0
13865426	0
7678	0
13842613	0
71430	0
7760	0
971	0
10420	0
11695	0
12643	0
7219	1
11784	0
7482	0
13838404	0
7679	0
15443	1
11434292	0
65936	0
13835209	0
7677	0
6342	0
15438	1
1348	0
11216	1
68328	0
4517338	0
11194	2
11819	1
13402	0
20843	0
55091	0
10487	0
15954	1
11045	0
11210	1
7521	2
7641	2
11543	1
13638	0
11752	0
7242	0
11843	0
7530	0
15765	2
10101	0
16791	0
11029	0
9633	0
28992	0
18717	0
6106	0
99440	0
7838	0
120621	0
9581	0
15413	0
7710	0
7536	0
7689	0
10710415	0
14751	1
7073	2
24533	0
7238	0
13835293	0
13866593	0
13875196	0
120489	0
10197150	0
374462	0
13839575	0
8569	0
11600	0
5889	0
191367	0
6967	2
192642	1
1078	0
23101	0
17558	1
55123	0
68179	0
733	0
11042	1
21132380	1
9349	0
73412	0
235	1
7827	0
68156	0
773	0
17880	0
20119	0
70714	0
7225	1
7786	0
7224	1
13448	0
7673	0
10940	1
10939	1
13842993	1
29025	0
1664	0
7128	2
455420	0
11866	0
21105905	1
10772050	0
26765	0
7681	0
7837	0
553642	0
21106560	1
11830	0
7810	0
7815	0
13842001	0
21169510	0
11930	0
10437135	0
7835	0
19956441	0
78	1
67991	0
455353	0
13875281	1
2039535	0
13837686	0
7240	0
123993	1
7849	0
7803	0
11783	0
13839441	0
18219	0
83866	0
13875160	1
11865	0
11077	2
21106586	1
13835772	1
83850	0
7221	1
11699	0
7385	1
7391	0
7670	2
13860335	1
19231	0
29005	0
7443	0
22191	0
7802	0
7389	0
7241	0
6179	0
7694	0
24972	0
62489	0
6286	0
7528	0
11660	2
62230	1
8568	0
7129	1
69371	0
10784857	0
21105871	1
13839082	1
63889	0
21109330	2
10937	2
7236	0
1577	0
122090	0
8909	0
11716	0
12231	0
10384035	0
6270	0
156255	0
7659	3
11409	2
6402	2
11919	0
7856	0
13257	1
21106036	0
13840690	1
7765	0
7538	0
71787	0
441	0
2606	0
11795	0
6287	0
14692	0
7223	1
7685	0
123860	0
7672	0
9970	0
13857694	0
16159	0
7088	1
28969	0
12069	0
11265	0
13648	0
13876539	1
7533	2
7131	1
7434	1
13866817	0
6977	3
13854136	1
447	0
13837760	0
13835151	1
191	0
7234	0
71628	0
7132	1
11087	0
18801	0
13837988	0
10696	0
76894	0
12456	0
12445	1
69569	0
12809	0
7138	0
10236	3
13863618	1
4446445	0
3954	0
55205	0
11021	2
14198	2
29026	0
5976	0
13875258	1
9903	2
7183	3
21181	0
13839416	0
7851	0
18410	1
13865680	1
21112023	1
503239	0
4878	0
932	0
12010	0
63908	0
5830	1
13839308	1
14680	0
28682	0
14169248	0
63310	0
11671339	0
391428	2
122446	0
238	1
7239	0
11863	0
2041618	0
13851576	1
13854248	0
10437215	0
8070	2
370	0
455090	0
11632	0
14840	0
2656	3
78828	0
10422	1
20939	1
69914	0
9976	0
73479	1
924	0
6883	1
5979	0
577	0
13658	0
21106366	1
7419	1
14299946	0
331	1
7448	2
7509	0
12632	0
