Compound Id	ChiChain [VCH-5]
13837650	0.0
29015	0.0
258	0.0
7714	0.0
7882	0.0
7837	0.0
7812	0.0
932	0.0
6040	0.0
1004	0.0
10445	0.0
6320	0.0
6312	0.0
6146	0.0
21011	0.0
3644	0.0
29000	0.0
175	0.0
6102	0.0
236	0.0
7224	0.0
7673	0.0
6321	0.0
29012	0.0
5730	0.0
7676	0.0
5977	0.0
7787	0.0
7679	0.0
14840	0.0
8569	0.0
121365	0.0
6104	0.0
3168	0.0
12181	0.0
7890	0.0
682	0.0
8525	0.0
7219	0.0
9614	0.0
8560	0.0
7767	0.0
864	0.0
6335	0.0
14672	0.0
7674	0.0
7641	0.0
11752	0.0
11815	0.0
13014	0.0
6334	0.0
28994	0.0
12814	0.079
7849	0.0
349	0.0
6967	0.0
7712	0.0
7636	0.034
7521	0.0
29080	0.217
7737	0.102
1108	0.0
13619	0.0
