Compound Id	ChiPathCluster [VPC-4]
291	0.0
6084	0.0
11148	0.0
855	0.0
864	0.0
6089	0.0
6088	0.0
6094	0.0
6085	0.0
6103	0.0
7956	0.0
682	0.0
6100	0.0
6087	0.0
654	0.0
6101	0.0
6086	0.0
7954	0.0
6097	0.0
7555	0.0
1004	0.0
172	0.0
6092	0.0
7560	0.0
11729	0.0
31029	0.0
6102	0.0
5834	0.0
10046	0.0
7556	0.0
9644	0.0
11151	0.0
7712	0.0
6111	0.0
10437	0.0
3168	0.0
7721	0.0
6114	0.0
13837190	0.0
9233	0.0
7577	0.0
21171407	0.0
7566	0.0
258	0.0
13835977	0.0
6093	0.0
7728	0.0
512	0.0
21106015	0.0
7716	0.0
9990	0.0
13836021	0.0
6106	0.0
7713	0.0
21106179	0.0
13836674	0.0
6124	0.0
11835	0.0
7714	0.0
7553	0.0
1114	0.0
7732	0.0
11833	0.0
7711	0.0
6138	0.0
7717	0.0
7557	0.0
11807	0.0
7786	0.0
11834	0.0
256	0.0
7767	0.0
8894	0.0
3644	0.0
7559	0.0
11830	0.0
7567	0.0
7734	0.0
6040	0.0
7776	0.0
12977	0.0
13865015	0.0
9354	0.0
12450	0.0
693	0.0
278	0.0
13835550	0.0
13835336	0.0
10694	0.0
9480	0.0
11723	0.0
6308	0.408
64095	0.204
11099	0.0
7957	0.0
11109	0.0
12209	0.0
6121	0.0
6108	0.0
7737	0.0
7827	0.0
14512	0.707
8543	0.0
7770	0.0
1095	0.0
6104	0.0
12011	0.0
175	0.0
8896	0.0
7782	0.0
7772	0.0
8560	0.0
31016	0.0
6310	0.236
7738	0.0
7815	0.0
12010	0.0
9630	0.0
2916	0.0
7739	0.0
13839553	0.0
7736	0.0
7811	0.0
171	0.0
659	0.0
11728	0.0
173	0.0
2006126	0.0
11167	0.0
10765	0.236
7604	0.289
221079	0.493
7024	0.408
11110	0.0
10730	0.0
10766	0.25
8544	0.0
10113	0.289
68268	0.0
11121	0.0
6307	0.802
29000	0.289
13854808	0.192
6127	0.0
62433	0.775
6125	0.0
11125	0.0
72268	0.231
62241	0.167
10340	0.136
6321	0.144
11871	0.0
7810	0.0
11846	0.0
13836399	0.0
6311	0.129
6313	0.136
21168808	0.408
5993	0.105
13837112	0.134
349	0.0
19100	0.0
8554	0.0
10018	0.0
1020	0.0
13837650	0.0
7837	0.0
2275	0.083
1005	0.065
7835	0.0
13854130	0.0
7791	0.0
13837537	0.0
6336	0.037
236	0.0
11832	0.0
7787	0.0
7551	0.0
29015	0.0
13835209	0.0
8903	0.0
6334	0.102
13837702	0.0
8904	0.0
11229	0.048
7790	0.0
60524	0.1
13420	0.059
121383	0.0
6330	0.083
10951	0.077
1913	0.046
13835459	0.0
10020	0.0
6134	0.0
3530	0.026
6153	0.0
11232	0.408
14893	0.333
12201	0.236
6309	0.144
14686	0.493
12446	0.177
81237	0.491
12430	0.354
7674	0.408
14966	1.134
11551	0.612
11094	0.289
8158	0.474
11222	0.177
9484	0.0
122546	0.204
7605	0.289
76541	0.0
7788	0.0
15221	0.0
7833	0.0
8569	0.0
1108	0.192
21106561	0.0
10653	0.118
11128	0.0
8525	0.059
10536	0.0
7607	0.102
13839107	0.0
11865	0.0
13839199	0.149
13839575	0.0
11866	0.0
5977	0.0
7856	0.0
7715	0.0
11863	0.0
6305	1.575
7849	0.0
10498	0.0
7852	0.0
11874	0.0
6323	0.164
7838	0.0
7016	0.204
10733	0.0
13835401	0.0
29101	0.079
7710	0.0
7688	0.132
119963	0.026
21106520	0.171
7677	0.236
13839441	0.0
9646	0.0
932	0.0
13835180	0.0
259	0.046
7851	0.0
6147	0.0
11526	0.068
13874733	0.192
11750	0.026
6333	0.037
6146	0.0
13835604	0.0
67424	0.149
13884495	0.0
68156	0.0
61471	0.0
5439	0.034
10772140	0.073
72718	0.066
6331	0.048
4200	0.2
10464	0.059
1143	0.0
11787	0.086
62181	0.086
1664	0.111
234	0.046
61632	0.0
6148	0.0
84221	1.030
67620	0.348
6340	1.333
18792	0.451
121154	0.289
11086	0.289
121113	0.348
15438	0.433
454272	0.144
121640	0.805
14751	0.493
14672	0.612
11106	0.289
21073	0.177
6163	1.061
7219	0.254
7706	0.059
126201	0.204
21106560	0.254
2803	0.236
29025	0.0
10465	0.067
21105905	0.239
7022	0.082
7463	0.101
7244	0.382
7242	0.197
55123	0.0
7850	0.0
11095	0.102
11025	0.174
13840	0.144
11838	0.0
29026	0.0
7878	0.0
11029	0.183
21106032	0.0
7238	0.147
30349	0.037
6326	0.595
7701	0.046
13872667	0.126
14840	0.0
13851383	0.294
59607	3.093
10054	0.0
6967	0.622
12814	0.444
14349	0.0
7026	0.183
7765	0.0
10053	0.0
6165	0.670
69736	0.204
8574	0.0
6170	0.274
8909	0.0
733	0.115
60839	0.0
21997	0.407
15117	0.0
13835861	0.341
13835772	0.370
14608	0.370
13835579	0.0
10328	0.824
13839416	0.0
69525	0.093
6164	0.474
10988	0.189
21106481	0.0
18801	0.0
61810	0.023
737	0.029
5050	0.164
4418329	0.261
773	0.0
2070	0.183
3596	0.211
