Compound Id	MDE [MDEC-23]
937	0.0
127983	0.0
217	0.0
692	0.0
763	0.0
748	0.0
23208	0.0
291	0.0
11148	0.0
391	0.0
274	0.0
923	0.0
6105	0.0
21106179	0.0
6086	0.0
864	0.0
8960	0.0
22814	0.0
6153	0.0
518	0.0
278	0.0
1087	0.0
16641	0.0
6085	0.0
6089	0.0
4514529	0.0
22408	0.0
9642	0.0
13571291	0.0
693	0.0
6087	0.0
11153	0.0
6084	0.0
6102	0.0
7568	0.0
172	0.0
6132	0.0
9243	0.0
2275	1.414
12066	0.0
10205670	1.0
10441	0.0
4937830	0.0
6111	0.0
6135	0.0
6083	0.0
6128	0.0
6123	0.0
9484	0.0
6095	0.0
7956	0.0
682	0.0
1019	0.0
9990	0.0
4514586	0.0
12577	0.0
9286	0.0
11727	0.0
16425	0.0
7577	0.0
171	0.0
1143	0.0
6098	0.0
9256	0.0
9994	0.0
7954	0.0
6101	0.0
654	0.0
6108	0.0
6104	0.0
8900	0.0
6191	0.0
21106169	0.0
21112738	0.0
7559	0.0
4481813	0.0
28994	0.0
173	0.0
6088	0.0
13835235	0.0
6130	0.0
6097	0.0
6314	1.0
11228	0.0
13836713	0.0
6151	0.0
6094	0.0
70850	0.0
11811	0.0
6145	0.0
6310	1.0
773	0.0
7738	0.0
5978	0.0
12197	0.0
7566	0.0
6093	0.0
512	0.0
13872989	0.0
175	0.0
2018165	1.0
6148	0.0
12640	1.414
8902	0.0
13835336	0.0
6103	0.0
1039	0.0
7030	1.0
6333	1.0
71390	0.0
6338	0.0
6092	0.0
2005981	0.0
21106015	0.0
19475	0.0
23730	0.0
7736	0.0
12442	0.0
16841	0.0
7557	0.0
7558	0.0
10772140	1.0
11154	0.0
13835977	0.0
1004	0.0
3644	0.0
13835550	0.0
13835316	0.0
553742	0.0
558928	0.0
1577	0.5
7790	0.0
2916	0.0
8899	0.0
6190	0.0
7734	0.0
1005	1.0
6335	0.0
5894	0.0
13836674	0.0
659	0.0
29008	0.0
11749	1.0
11910	0.0
7012	2.0
11065	1.414
6164	0.0
11239	0.0
5977	0.0
7330	0.0
62827	0.5
7546	2.0
7737	0.0
11756	0.0
4514549	0.0
3102535	0.0
363458	1.651
7556	0.0
56442	0.0
4449912	0.0
7957	0.0
7564	0.0
1114	0.0
7777	0.0
7606	1.414
8904	0.0
8903	0.0
6149	0.0
6125	0.0
29040	0.0
454215	0.0
7029	1.890
7739	0.0
9391	0.0
7733	0.0
394562	0.0
6322	1.0
60524	0.0
6330	1.0
6334	0.0
5993	0.0
6100	0.0
13837190	0.0
13835224	1.0
7728	0.0
13839553	0.0
558020	1.651
62808	2.080
124968	1.310
14829	0.0
21111820	2.381
10437	0.0
6121	0.0
558875	0.0
8544	0.0
7553	0.0
11526	0.0
592	0.0
10771217	0.0
10498	0.0
6119	0.0
81815	0.5
14694	0.0
30713	0.0
7555	0.0
6120	0.0
24043	0.0
19476	0.0
6177	0.0
8012	1.414
12957	0.0
13875283	5.657
1020	0.0
10340	1.890
12225	1.0
1348	0.0
844	2.0
29015	0.0
10018	0.0
7717	0.0
6311	1.0
7732	0.0
6321	1.0
13871721	0.0
62597	0.0
6313	1.0
256	0.0
9016	0.0
9254	0.0
14441700	0.0
61213	0.0
7727	0.0
13836021	0.0
8733	0.0
13863629	2.828
9363	2.149
61111	2.556
7560	0.0
11729	0.0
10606755	0.0
38403	0.0
7636	1.414
374462	2.828
3951	0.0
7616	0.5
552744	1.414
8896	0.0
7615	0.0
387	0.0
5439	0.5
13837650	0.0
13853215	0.0
9392	0.0
7552	0.0
6118	0.0
733	2.0
454209	0.0
66565	3.302
7817	0.0
7081	3.0
11809	0.0
13837280	1.0
236	0.0
11731	0.0
8141	2.828
29036	0.0
13837537	0.0
2340753	0.0
10325184	0.0
107412	0.5
11099	0.0
6309	1.0
558883	0.0
56020	0.0
11806	0.0
1095	0.0
8351654	0.0
3168	0.0
10709	0.0
6312	1.0
258	0.0
6320	1.0
6146	0.0
415	0.0
4444456	0.0
12229	0.0
