Compound Id	CarbonTypes [C2SP1]
6191	0
6153	0
16425	0
6190	0
11919	0
67991	0
291	0
6084	0
6094	0
7555	0
6120	0
7712	0
6308	0
9646	0
10781	0
15802	0
17976	0
7767	0
7604	0
7010	0
6163	0
6340	0
8560	0
11094	0
11023	0
11055	0
10786	0
7619	0
10755	0
11551	0
349	0
11035	0
11104	0
10795	0
10445	0
7849	0
17558	0
13439	0
13402	0
14840	0
13448	0
13619	0
7890	0
11882	0
11883	0
10540	0
7929	0
11897	0
11899	0
12017	0
12072	0
11900	0
11901	0
11146	0
11902	0
10542	0
11906	0
8878	0
11585	0
13837650	0
13853215	0
9392	0
7674	0
6156	0
18410	0
7024	0
15438	0
8896	0
14751	0
221117	0
7787	0
8908	0
8909	0
8910	0
6188	0
10265264	0
10179173	0
21800	0
10325078	0
6111	0
10265270	0
15765	0
10179239	0
69569	0
5730	0
13837281	0
9724	0
7662	0
13862559	0
7518	0
21106571	0
13864445	0
21106163	0
21106540	0
6339	0
38364	0
27488	0
11776	0
25677	0
158870	0
157093	0
83374	0
457144	0
135925	0
457145	0
84188	0
136000	0
135983	0
136001	0
136002	0
136003	0
84235	0
82755	0
82712	0
157094	0
103011	0
102798	0
82762	0
11974	0
56793	0
454495	0
40191	0
56791	0
35581	0
56774	0
82765	0
27793	0
82754	0
457138	0
102897	0
457139	0
102947	0
97173	0
102720	0
102801	0
102833	0
102721	0
102856	0
102933	0
103066	0
97172	0
106355	0
102741	0
97055	0
97198	0
34874	0
36972	0
56788	0
533188	0
35579	0
16182	0
46262	0
35580	0
82818	0
56790	0
56795	0
33458	0
82777	0
35584	0
56785	0
56792	0
34189	0
34859	0
84346	0
56760	0
56755	0
33666	0
36973	0
37744	0
46894	0
45444	0
56769	0
56780	0
34847	0
39406	0
35081	0
56781	0
56771	0
102834	0
102722	0
154865	0
96948	0
102743	0
102857	0
154866	0
106356	0
102787	0
97240	0
102742	0
97257	0
97224	0
102923	0
96868	0
96864	0
97234	0
97233	0
154062	0
97142	0
56782	0
36977	0
83414	0
84348	0
82823	0
36975	0
56778	0
43354	0
37779	0
45445	0
36974	0
35585	0
34848	0
84344	0
34850	0
82819	0
56772	0
82820	0
16415	0
56779	0
56768	0
56777	0
84345	0
34668	0
96965	0
33198	0
82783	0
34852	0
37000	0
37019	0
56765	0
39198	0
82740	0
56761	0
56756	0
56766	0
83413	0
34851	0
36976	0
56767	0
56763	0
56787	0
35583	0
82807	0
56794	0
33386	0
33457	0
47912	0
82817	0
46893	0
33280	0
35582	0
33304	0
46263	0
15827	0
33407	0
36985	0
35205	0
15637	0
82821	0
34853	0
37745	0
36978	0
34190	0
34191	0
36771	0
