Compound Id	TF_C3-3-N3-2-C4-5
CHEMBL101311	0
CHEMBL1081312	6
CHEMBL1084546	2
CHEMBL1164180	8
CHEMBL117697	0
CHEMBL1178727	0
CHEMBL1233887	0
CHEMBL1421720	2
CHEMBL1825138	2
CHEMBL1870106	8
CHEMBL189963	10
CHEMBL191003	0
CHEMBL1949855	0
CHEMBL1964382	0
CHEMBL1964441	0
CHEMBL1964718	0
CHEMBL1965660	0
CHEMBL1966799	0
CHEMBL1967252	0
CHEMBL1967612	0
CHEMBL1967878	8
CHEMBL1967992	0
CHEMBL1967998	4
CHEMBL1968130	0
CHEMBL1969151	4
CHEMBL1970317	0
CHEMBL1970352	4
CHEMBL1970873	0
CHEMBL1971289	0
CHEMBL1971519	0
CHEMBL1971534	0
CHEMBL1972220	1
CHEMBL1972346	0
CHEMBL1972355	0
CHEMBL1972934	0
CHEMBL1973013	4
CHEMBL1973516	4
CHEMBL1973720	4
CHEMBL1973793	0
CHEMBL1973868	0
CHEMBL1974328	2
CHEMBL1974617	0
CHEMBL1974875	2
CHEMBL1975212	0
CHEMBL1975921	0
CHEMBL1975927	0
CHEMBL1976040	7
CHEMBL1976420	0
CHEMBL1976872	1
CHEMBL1977138	1
CHEMBL1977749	0
CHEMBL1977931	0
CHEMBL1978166	0
CHEMBL1978167	0
CHEMBL1978195	0
CHEMBL1979690	4
CHEMBL1980329	0
CHEMBL1980391	0
CHEMBL1980407	0
CHEMBL1980763	4
CHEMBL1980995	12
CHEMBL1981047	5
CHEMBL1981133	0
CHEMBL1981492	0
CHEMBL1982711	0
CHEMBL1983268	10
CHEMBL1983348	4
CHEMBL1983575	0
CHEMBL1983630	0
CHEMBL1983715	6
CHEMBL1983923	4
CHEMBL1983980	2
CHEMBL1984296	0
CHEMBL1984402	0
CHEMBL1984500	0
CHEMBL1984760	2
CHEMBL1985042	0
CHEMBL1985206	0
CHEMBL1986590	0
CHEMBL1986943	4
CHEMBL1987535	0
CHEMBL1988076	0
CHEMBL1988437	0
CHEMBL1988581	0
CHEMBL1988622	0
CHEMBL1988692	4
CHEMBL1988805	0
CHEMBL1989267	1
CHEMBL1989423	0
CHEMBL1989471	0
CHEMBL1991078	0
CHEMBL1991410	0
CHEMBL1991674	4
CHEMBL1991734	0
CHEMBL1991867	0
CHEMBL1992073	1
CHEMBL1992125	3
CHEMBL1992581	2
CHEMBL1992607	1
CHEMBL1992673	0
CHEMBL1992937	0
CHEMBL1993335	0
CHEMBL1993661	0
CHEMBL1993877	4
CHEMBL1993904	0
CHEMBL1994318	6
CHEMBL1994526	2
CHEMBL1994555	0
CHEMBL1994808	0
CHEMBL1995211	9
CHEMBL1995811	0
CHEMBL1995916	0
CHEMBL1996048	3
CHEMBL1996176	0
CHEMBL1996510	4
CHEMBL1996646	4
CHEMBL1996649	2
CHEMBL1996702	2
CHEMBL1997007	2
CHEMBL1997041	0
CHEMBL1997119	0
CHEMBL1997611	4
CHEMBL1997846	4
CHEMBL1997924	0
CHEMBL1998470	2
CHEMBL1998953	6
CHEMBL1999120	0
CHEMBL1999414	2
CHEMBL1999484	4
CHEMBL2000029	0
CHEMBL2000568	0
CHEMBL2000879	0
CHEMBL2001613	0
CHEMBL2001641	0
CHEMBL2001704	0
CHEMBL2002099	2
CHEMBL2002105	0
CHEMBL2002182	0
CHEMBL2002992	3
CHEMBL2004033	0
CHEMBL2004290	1
CHEMBL2004515	0
CHEMBL2005449	0
CHEMBL2005478	0
CHEMBL2006564	8
CHEMBL2006765	5
CHEMBL2007421	2
CHEMBL2007559	4
CHEMBL2007574	0
CHEMBL21156	2
CHEMBL235157	0
CHEMBL242865	0
CHEMBL24828	0
CHEMBL289959	0
CHEMBL379975	0
CHEMBL38380	4
CHEMBL422897	0
CHEMBL451401	0
CHEMBL458997	4
CHEMBL475251	1
CHEMBL482538	0
CHEMBL483158	0
CHEMBL49120	0
CHEMBL521851	6
CHEMBL522892	4
CHEMBL550418	0
CHEMBL565612	4
CHEMBL572878	6
CHEMBL574738	4
CHEMBL592030	1
CHEMBL1727312	0
CHEMBL1879463	0
CHEMBL1964948	2
CHEMBL1965838	0
CHEMBL1966175	2
CHEMBL1970340	0
CHEMBL1973359	0
CHEMBL1975903	0
CHEMBL1978713	0
CHEMBL1980297	1
CHEMBL1980376	0
CHEMBL1982753	4
CHEMBL1983111	6
CHEMBL1985681	0
CHEMBL1989708	1
CHEMBL1992371	0
CHEMBL1994159	0
CHEMBL1995765	0
CHEMBL1997051	0
CHEMBL1997335	0
CHEMBL2001149	0
CHEMBL2002586	8
CHEMBL2003785	0
CHEMBL2004118	4
CHEMBL225519	2
CHEMBL234085	6
CHEMBL262623	1
CHEMBL461876	2
