Compound Id	KierHallSmarts [khs.sCH3]
502855	2
6191	0
26325183	0
5709	0
6153	0
16425	0
8521	12
23150	6
76894	8
2041618	9
8520	10
66656	5
26824	10
18019	12
11434292	6
26325084	20
6190	0
11919	4
10696	8
26325083	18
10451	10
23101	8
122090	7
26325082	16
26325081	14
512621	6
10449	12
26325080	12
66655	5
10652594	5
14021447	10
67991	4
109705	0
17619	4
9256	0
692	0
291	0
6084	1
6094	2
7555	2
6120	3
7712	2
6308	3
9646	4
10781	5
15802	3
17976	5
7767	2
7604	3
7010	3
6163	4
6340	4
8560	2
11094	3
11023	3
11055	4
10786	4
7619	4
10755	4
11551	3
349	2
11035	3
11104	4
10795	5
10445	5
7849	2
17558	3
13439	6
13402	4
14840	2
13448	6
13619	2
7890	2
11882	2
11883	2
10540	2
7929	2
11897	2
11899	2
12017	2
12072	2
11900	2
11901	2
11146	2
11902	2
10542	2
11906	2
8878	0
11585	1
11557190	8
10452	6
10784857	6
108106	8
127983	0
78828	6
68328	4
67414	6
13837650	0
13853215	0
9392	0
10765	2
7674	1
14998	4
10614293	4
61149	0
6156	4
12201	2
11109	1
24142	1
13622	1
16180	1
7891	1
12446	2
29025	1
12635	1
11121	1
7713	1
12809	1
7833	1
7556	1
7954	1
555074	2
7957	2
4516601	2
56442	2
4483639	2
4516599	2
4512361	2
4483638	2
4449912	2
4512642	2
18410	1
22408	0
66675	6
10113	3
9484	1
23208	0
6085	0
7024	1
15438	1
8896	0
14751	1
221117	2
7787	0
8908	0
8909	0
8910	0
71433	3
22814	0
9095782	2
6151	0
14299946	7
6188	0
11099	0
73583	1
7340	3
8158	3
11110	0
9642	0
12577	0
11996	4
10756390	4
62827	0
7626	4
10265264	2
13835550	0
56117	4
11230	3
63631	4
11086	1
21106179	0
11841	4
6402	3
1406720	3
2056044	0
1114	3
14692	0
10179173	2
21800	2
8544	0
7788	0
4927801	10
9088156	7
29040	0
10325078	0
55188	4
7624	4
68224	4
24263	3
6364	2
11749	3
14672	4
11228	3
11864	1
12209	1
11857	0
391428	3
10733068	5
454638	4
12456	1
17880	1
11845	1
11806	1
9990	2
6309	1
7557	0
558883	1
56020	1
10124	2
6111	0
10265270	0
14198	2
7794	4
7180	3
9286	0
9411	1
14441700	1
6148	1
6149	0
15765	2
553642	0
15413	4
7182	3
10669	2
66567	1
6132	0
8569	2
12220	2
7823	2
11849	2
10441	2
3168	2
11833	2
455420	2
10709	2
7558	1
6095	1
10179239	0
12197	0
11761	4
6108	0
69914	3
59573	4
70850	3
38403	0
11671339	3
7956	2
55090	3
11180	4
274	0
6145	3
10053	3
28993	2
59483	6
11811	2
7777	2
15482	2
454215	0
7856	2
8562	2
10054	3
7730	2
11739	3
11056	3
