Compound Id	KierHallSmarts [khs.dssC]
502855	2
6191	0
26325183	0
5709	1
6153	0
16425	0
8521	0
23150	0
76894	0
2041618	0
8520	0
66656	0
26824	0
18019	0
11434292	0
26325084	0
6190	0
11919	0
10696	0
26325083	0
10451	0
23101	0
122090	0
26325082	0
26325081	0
512621	0
10449	0
26325080	0
66655	0
10652594	0
14021447	0
67991	0
109705	0
17619	0
9256	0
692	0
291	0
6084	0
6094	0
7555	0
6120	0
7712	0
6308	0
9646	0
10781	0
15802	0
17976	0
7767	0
7604	0
7010	0
6163	0
6340	0
8560	0
11094	0
11023	0
11055	0
10786	0
7619	0
10755	0
11551	0
349	0
11035	0
11104	0
10795	0
10445	0
7849	0
17558	0
13439	0
13402	0
14840	0
13448	0
13619	0
7890	0
11882	0
11883	0
10540	0
7929	0
11897	0
11899	0
12017	0
12072	0
11900	0
11901	0
11146	0
11902	0
10542	0
11906	0
8878	0
11585	1
11557190	0
10452	0
10784857	0
108106	0
127983	0
78828	0
68328	0
67414	0
13837650	0
13853215	0
9392	0
10765	0
7674	0
14998	0
10614293	0
61149	0
6156	0
12201	0
11109	0
24142	0
13622	0
16180	0
7891	0
12446	1
29025	0
12635	0
11121	0
7713	0
12809	0
7833	0
7556	0
7954	0
555074	0
7957	1
4516601	0
56442	0
4483639	0
4516599	0
4512361	0
4483638	0
4449912	0
4512642	0
18410	0
22408	0
66675	0
10113	1
9484	0
23208	0
6085	0
7024	0
15438	0
8896	0
14751	0
221117	0
7787	0
8908	0
8909	0
8910	0
71433	0
22814	0
9095782	0
6151	0
14299946	0
6188	0
11099	0
73583	0
7340	0
8158	0
11110	0
9642	0
12577	0
11996	0
10756390	0
62827	0
7626	0
10265264	0
13835550	0
56117	0
11230	0
63631	0
11086	1
21106179	0
11841	0
6402	1
1406720	1
2056044	0
1114	0
14692	0
10179173	0
21800	0
8544	0
7788	0
4927801	0
9088156	0
29040	0
10325078	0
55188	0
7624	0
68224	0
24263	1
6364	1
11749	0
14672	0
11228	0
11864	0
12209	0
11857	0
391428	1
10733068	0
454638	1
12456	0
17880	0
11845	0
11806	0
9990	0
6309	1
7557	0
558883	0
56020	0
10124	2
6111	0
10265270	0
14198	1
7794	0
7180	1
9286	0
9411	1
14441700	0
6148	0
6149	0
15765	0
553642	0
15413	0
7182	2
10669	1
66567	0
6132	0
8569	0
12220	0
7823	0
11849	0
10441	0
3168	0
11833	0
455420	0
10709	0
7558	0
6095	0
10179239	0
12197	0
11761	0
6108	0
69914	0
59573	0
70850	0
38403	0
11671339	0
7956	0
55090	0
11180	0
274	0
6145	0
10053	0
28993	2
59483	0
11811	0
7777	0
15482	0
454215	0
7856	0
8562	0
10054	0
7730	0
11739	0
11056	0
