Compound Id	KierHallSmarts [khs.sssCH]
502855	0
6191	0
26325183	0
5709	0
6153	0
16425	0
8521	0
23150	0
76894	0
2041618	0
8520	0
66656	0
26824	0
18019	0
11434292	1
26325084	0
6190	0
11919	0
10696	0
26325083	0
10451	0
23101	0
122090	0
26325082	0
26325081	0
512621	0
10449	0
26325080	0
66655	0
10652594	0
14021447	0
67991	0
109705	0
17619	0
9256	1
692	0
291	0
6084	0
6094	0
7555	0
6120	1
7712	0
6308	1
9646	0
10781	1
15802	1
17976	1
7767	0
7604	1
7010	1
6163	0
6340	2
8560	0
11094	1
11023	1
11055	0
10786	2
7619	2
10755	0
11551	1
349	0
11035	1
11104	2
10795	3
10445	1
7849	0
17558	1
13439	0
13402	0
14840	0
13448	0
13619	0
7890	0
11882	0
11883	0
10540	0
7929	0
11897	0
11899	0
12017	0
12072	0
11900	0
11901	0
11146	0
11902	0
10542	0
11906	0
8878	2
11585	0
11557190	0
10452	0
10784857	0
108106	0
127983	0
78828	0
68328	0
67414	0
13837650	0
13853215	0
9392	0
10765	1
7674	1
14998	0
10614293	1
61149	2
6156	0
12201	1
11109	0
24142	0
13622	0
16180	0
7891	0
12446	0
29025	0
12635	0
11121	0
7713	0
12809	0
7833	0
7556	0
7954	0
555074	0
7957	0
4516601	0
56442	0
4483639	0
4516599	0
4512361	0
4483638	0
4449912	0
4512642	0
18410	1
22408	0
66675	0
10113	0
9484	0
23208	0
6085	0
7024	1
15438	1
8896	0
14751	1
221117	2
7787	0
8908	0
8909	0
8910	0
71433	0
22814	0
9095782	0
6151	0
14299946	0
6188	0
11099	0
73583	0
7340	0
8158	0
11110	0
9642	0
12577	0
11996	0
10756390	0
62827	1
7626	2
10265264	2
13835550	0
56117	0
11230	0
63631	1
11086	0
21106179	1
11841	2
6402	2
1406720	3
2056044	2
1114	0
14692	0
10179173	2
21800	2
8544	0
7788	0
4927801	0
9088156	0
29040	1
10325078	0
55188	0
7624	2
68224	0
24263	2
6364	2
11749	1
14672	0
11228	1
11864	0
12209	0
11857	0
391428	2
10733068	0
454638	3
12456	0
17880	0
11845	0
11806	0
9990	0
6309	0
7557	0
558883	0
56020	0
10124	0
6111	0
10265270	2
14198	2
7794	2
7180	2
9286	2
9411	0
14441700	0
6148	0
6149	0
15765	2
553642	0
15413	0
7182	1
10669	2
66567	0
6132	1
8569	0
12220	0
7823	0
11849	0
10441	0
3168	0
11833	0
455420	0
10709	0
7558	0
6095	0
10179239	2
12197	0
11761	2
6108	0
69914	0
59573	0
70850	1
38403	2
11671339	0
7956	0
55090	0
11180	1
274	0
6145	0
10053	0
28993	0
59483	0
11811	0
7777	0
15482	0
454215	1
7856	0
8562	0
10054	0
7730	0
11739	0
11056	0
6146	0
9461	0
654	0
11194	1
6165	0
11216	0
62230	0
16791	0
18717	1
11210	0
518	N/A
11117	0
205483	0
10979	0
61346	0
6186	0
391	0
69371	0
69569	0
6310	1
7606	1
7181	1
99596	1
23255	1
6123	1
4514529	0
11351244	0
499714	1
78467	0
16841	1
2062437	1
61266	0
15954	2
11819	2
7622	2
99440	1
11239	2
11543	2
10790	2
6187	0
2656	1
6827	2
20939	1
9016	1
7817	0
11788	0
13835316	0
6270	0
454209	0
9633	0
9377	0
9243	0
11148	0
923	0
6121	1
8576	0
7851	0
15387	0
6315	1
7811	0
7835	0
7769	0
7716	0
7564	0
6101	0
6089	0
6118	1
8577	0
14349	0
7852	0
14680	0
7776	0
7330	0
6122	1
63863	0
2282428	1
15486	1
7732	0
18920	1
11861	1
123993	2
11036	1
11029	1
11794	1
11732	0
10511	1
21011	1
11678	1
7533	2
3644	1
6320	1
10947	1
6164	0
11729	0
9254	1
9251	1
6307	1
62589	1
7686	1
13837280	0
9253	1
13255	2
10512	0
13837797	0
16641	0
6098	0
10536	0
7827	0
9233	0
18607	0
5730	0
3441	1
83734	1
217	0
56559	1
9053802	1
10787	2
29000	1
11793	1
10526	0
120464	0
7434	1
7459	1
11024	1
6312	1
8398	1
24590970	1
7733	0
56144	1
23055	0
6130	1
7850	0
11865	0
7714	0
10437	0
6097	0
12219	0
7848	0
61487	0
11863	0
7810	0
7766	0
7711	0
7552	0
6092	0
7791	0
12010	0
11830	0
10497	0
31029	0
6100	0
12228	0
6042	0
553742	0
13836713	0
13803	0
11898	0
72522	0
7928	0
14348	0
2581	0
11891	0
7917	0
7915	0
7901	0
7892	0
7882	0
8574	0
932	0
7812	0
7837	0
6040	0
258	0
1004	0
682	0
7815	0
7560	0
6103	0
6635	0
14829	0
6087	0
11525	1
7721	0
6083	0
1039	0
6088	0
864	0
13837281	0
937	0
56232	0
71390	1
5979	0
13837190	0
7074	1
15077490	1
13872989	0
13638	0
7170	2
10534	0
6128	1
9391	1
6086	0
10410	1
68503	0
10675065	3
14694	0
7090	0
7028	1
63156	0
12626	0
62597	0
15803	4
10487	1
13492	0
15747	0
8356	1
13849981	0
12933	0
6105	0
18971812	0
14688	0
6125	1
13835977	0
5977	1
71876	0
7128	1
7183	1
7088	0
15461	0
13299573	0
107412	1
7073	2
455353	0
16778	0
7705	1
2340753	0
7728	0
8554	0
10340	0
21112738	0
4481813	0
13487	0
7385	0
8531	0
7448	0
4514586	0
764	0
10325184	0
6406	0
12066	0
7738	0
7098	0
10404	0
7419	0
7219	0
11660	0
6999	0
5026296	2
18688	0
7737	0
13871721	0
1108	0
236	0
7521	0
7641	0
7659	0
11871	0
55130	1
10433	1
11992	1
13836399	0
7703	0
10253	1
60886	0
83962	2
12161	0
7671	2
10446	0
62249	0
11526	0
13571291	0
71312	1
7026	1
7678	1
9970	1
7672	1
7786	0
8335	0
6301	0
10606755	1
7657	1
22453	1
7065	1
11193	0
13836591	0
13875283	0
7553	0
11409	0
13249	0
3631	2
13835836	1
55084	0
7694	0
7482	0
11716	0
11045	0
7515	0
13836549	0
7546	1
7677	1
13836674	0
2293678	1
6967	0
6977	0
21168808	0
960	0
6177	0
61213	0
20545	1
7472	1
11207996	1
29016	1
7747	1
7627	1
10571	1
7076	0
6649	1
8012	1
7003	0
13854944	0
6104	0
4937830	0
61191	0
9614	0
7739	0
8883	4
7757	0
7511	0
7509	0
29005	0
10420	0
7478	0
7475	0
7463	0
6333	0
21111806	0
10364	0
21111820	0
21171407	0
3210	0
10756	1
11910	0
7469	1
7064	1
60329	0
13842001	0
13850082	0
21106169	0
7872	0
7875	0
7913	0
7670	2
8568	0
14846	0
7800	0
11843	0
29012	0
10797	2
7538	0
7536	0
11755	1
7706	0
7761	1
10492	1
11680	0
11706	0
10653	0
68179	0
10001	1
6341	1
11727	0
7727	0
3951	0
21108550	0
13836021	0
9724	3
11731	0
8950	0
14866	0
6720	3
13850142	1
558917	0
11153	0
7559	0
558928	0
415	0
390927	1
10236	0
7012	1
11065	1
28981	1
99681	1
8525	0
6176	0
7081	1
6313	1
13837702	0
9903	0
13849989	0
55123	0
12012	0
7534	1
10791	1
11125	0
7782	0
8552	0
7701	0
6316	1
9325	0
13866593	0
11911	0
55091	0
552744	0
7888	0
12013	0
123860	0
28986	0
2863	0
6335	0
7803	0
259	0
7616	0
171	0
24641	0
7129	0
7866	0
3756	0
10033	0
30713	2
10788	1
7621	1
8329688	0
10777	1
441	0
7838	0
5949	0
370	0
29029	0
7772	0
256	0
512	0
1005	0
2018460	1
21169510	0
48024	0
7013	1
7676	0
13875281	0
7220	0
7248	0
11661	0
12674	1
8097	0
12071	0
10035	0
